Date,MSFT,HDFCBANK.NS,TCEHY,SAP,RELIANCE.NS,ASML,NESN.SW,AMZN,005930.KS,6758.T,MC.PA,7203.T,TSLA,BABA,META,TCS.NS,NVDA,AAPL,JPM,JD
2020-01-07,-0.00911786928981051,0.015834693567471136,0.02070945142246039,-0.004321969322347297,0.015384623772301431,0.010859894904946765,-0.0099756232887237,0.0020916204156395946,0.005405202347666949,0.03167107951581327,0.002047616133376673,0.01982792952883594,0.03880052465815398,0.004569806525796638,0.002163655999727565,0.002454107354776358,0.012106923029613581,-0.004703291269293253,-0.01700029679797499,0.008420982293788848
2020-01-08,0.015928152967182863,-0.002617845206483782,-0.0026114785657420647,0.010926510617600416,-0.007510165597352625,0.010375333320523428,-0.016159601476260166,-0.007808640261289468,0.017920911499015535,0.0006531521876045332,0.006730681959927987,-0.01270228228619219,0.04920482578812169,0.0017000956802155631,0.010138076363888082,0.02239472658100561,0.001875623238084767,0.016086337442902554,0.007800608702195788,-0.0005218752050145659
2020-01-09,0.012493478935641456,0.01121465035746727,0.01671690258496672,0.015176260297035782,0.023031356836624273,-0.0016892601156082154,-0.004057907989972187,0.0047991747864684076,0.031690403561194014,0.018798951337848147,0.013610412517995885,0.0069580696077966575,-0.021945011900097344,0.017339507204667814,0.01431096015604405,-0.018135081507114736,0.010982248611258738,0.0212409741309747,0.003651488993369645,0.015665748197481788
2020-01-10,-0.004626995790668054,0.008887669779854779,0.018819438048381487,-0.001094038419842347,-0.00022598348205293828,-0.017254236664145384,-0.0013582055452712183,-0.009410596802031157,0.01535833016111754,0.004997512203354981,-0.0020025944466411927,-0.0011733819137326185,-0.006627297633174156,0.009243366115322393,-0.0010995076604454201,-0.00036121090497054364,0.005349327549935667,0.0022605803645263656,-0.009967846436941596,0.005398473669188553
2020-01-13,0.012024094112197181,0.002572741797639777,0.017110646407348717,0.009855594794491385,-0.002552409780561371,0.017793377667493226,0.005828572389527276,0.00432257824569926,0.008403327344170819,0.0,0.007317520315148318,0.0,0.0976889588509331,0.029709992884216607,0.01765580837798475,-0.010481015194531818,0.03135219858726623,0.021364505725190552,0.00830451408139532,0.03068270400351536
2020-01-14,-0.007043112875166679,0.0027214751204900356,-0.017587403486193254,-0.007807382075417091,-0.009263291305936838,0.0036489106605905874,-0.0011590290628061828,-0.01155821171805238,0.0,0.024607968746226172,0.009958840032844751,0.010181572676034367,0.024882822120200876,-0.01731159653822445,-0.012843115722162235,0.0075557113793085495,-0.018651933174050117,-0.013503447008731406,0.0116616874838813,-0.000496111567847124
2020-01-15,0.006476316014575989,-0.0040712331373891075,-0.004281032306085564,-0.006193129805328823,-0.003628931394382473,-0.008164129046564161,0.003867767932180355,-0.003969126548925228,-0.01666659979455376,-0.019412616892278356,0.0010441301739019249,-0.008657564671576079,-0.03610201351305786,-0.006313809894045064,0.00954061762694658,0.009062557623598089,-0.006915426358577115,-0.0042854467697446275,-0.014985522386813166,-0.012658324265960141
2020-01-16,0.018323354345521237,0.0026475105001759758,0.00742616643232985,0.006524934109357394,0.009219929846627561,0.0033325812946152222,0.010402607773210226,0.00854991102959346,0.028813534138020902,0.007106556214570459,0.0010431970953026504,0.00195544243969481,-0.009662477636014799,-0.004976456636942461,0.0028036343583333068,0.005344013975300044,0.013682737068568596,0.012526592438095063,0.0038763414035296595,-0.005530358424420068
2020-01-17,0.005596710563367191,-0.007377781380943138,0.0009699721595524124,0.019447967286569057,0.028025359268427197,-0.0034539226302475745,0.016015262765191052,-0.00703966144232826,0.009884683555879015,-0.0015121561644911852,0.016554627833117008,0.0010403945008017335,-0.005822894156913949,0.015584542492891096,0.0016683873643490443,-0.0087996639254313,0.0014057499135116114,0.01107103356821626,0.006921706420270235,0.019969679599701085
2020-01-20,0.0,-0.018190366888758858,0.0,0.0,-0.030771669666652124,0.0,0.003002558176520731,0.0,0.017944580765655527,0.008455138507630133,-0.021182096218374524,0.011046115072176121,0.0,0.0,0.0,-0.021968367350329143,0.0,0.0,0.0,0.0
2020-01-21,-0.0035907502827940974,-0.008407124134200528,-0.04631782606729695,-0.0030010306916053997,0.001011640994414087,-0.0054664605111626186,0.013657587670065086,0.014629525206926841,-0.016025720817495537,-0.005881333941686107,-0.011169286189594674,0.009511533443164133,0.07189030619278935,-0.022732288600037398,-0.003151168011407912,0.0003227366394544795,-0.005375392062148876,-0.0067769866256620626,-0.009840928972460028,-0.0071871636047361465
2020-01-22,-0.004805017053462035,-0.0028125666089224843,0.013615196027537024,0.0002869138646603986,-0.00035872424387950463,-0.007204768258420868,0.003875825477771766,-0.0023995494624705627,0.014658099013797665,0.0018882517358485007,-0.0035297731463088677,-0.003947045365849444,0.04086264444061727,0.0004948932238593162,-0.0005419237334980398,0.016512514941346756,0.008751842634511675,0.003569429717066974,-0.001168915361190792,0.022715993880220164
2020-01-23,0.006155978744531554,0.003223383431923299,-0.0006016048030051957,-0.010316777146031852,-0.004239056407985831,-0.0065149626172732455,-0.004044865927046004,-0.0015259112256779117,-0.024077019749190187,-0.001130720256465323,-0.02715793059016569,0.001661819615362159,0.004635122144013071,-0.01457023570510474,-0.007048689610777981,-0.004972832180165421,0.010995469047427653,0.004815966749884826,-0.0010243430369818451,-0.004881708231560533
2020-01-24,-0.01007684316302404,-0.00024080876129772832,-0.018455309078597715,0.006659807961533204,-0.003471288617717283,0.005130510427486357,0.005169054943928275,-0.012172426638861866,0.0,-0.001383741783136605,0.010559405467854832,0.004594098742513042,-0.012897603180825445,-0.024551638052894398,-0.008281684240083576,-0.00344599340955698,-0.009412349812762177,-0.002881956954659426,-0.024828181458700027,-0.029923935776788313
2020-01-27,-0.01672336701911392,-0.025189837907851564,-0.030860398927829658,-0.02020706481842649,-0.009858324415728759,-0.03904235510585996,-0.008999079749648753,-0.01788746376771222,0.0,-0.00932111957175763,-0.0367521254214912,-0.015243785614730498,-0.012039272835579373,-0.03873686524101083,-0.014086456295288818,-0.006480599507451279,-0.04104141008168449,-0.02940519635116723,-0.008411327023387205,-0.048040415881014265
2020-01-28,0.01959600631668179,0.008242596991694384,0.01687049665321383,-0.027816455985324784,-0.023099110074236373,0.02075360936283155,0.006486296635242805,0.01362436592451366,-0.032894599713314876,-0.011697450101353923,0.027431335853522976,-0.0006449937272742234,0.015913383222044608,0.023166426225365244,0.013589637956478606,0.006684216814542454,0.032348354426502635,0.028289174034631603,0.018177739882202282,0.03346601036441843
